year,month,day,age,sex,source,body_length,CA,placental_scar
2014,5,16,0,1,2,97,,
2014,5,22,0,1,2,75,,
2014,5,8,0,1,2,73,,
2014,5,4,,2,2,82,,
2014,5,6,0,2,2,,,
2014,5,14,0,1,4,60,,
2014,6,20,0,1,2,90,,
2014,6,7,0,1,2,95,,
2014,6,2,0,2,2,75,,
2014,6,18,0,2,2,70,,
2014,6,15,0,1,2,100,,
2014,7,10,0,2,2,70,,
2014,7,11,28,1,2,110,,
2014,9,9,0,1,2,98,,
2014,9,19,0,2,2,85,0,
2014,10,31,2,1,2,115,,
2014,10,31,1,1,2,107,,
2014,10,10,3,,1,,,
2014,10,12,13,1,1,,,
2014,11,8,1,2,2,,0,
2014,11,15,0,1,4,100,,
2015,4,20,,1,4,140,,
2015,4,27,0,2,4,65,0,
2015,4,29,0,1,4,75,,
2015,4,29,0,1,4,70,,
2015,4,26,0,1,4,60,,
2015,4,27,0,2,4,68,0,
2015,5,20,2,1,2,,,
2015,5,20,1,1,2,,,
2015,5,6,0,1,4,98,,
2015,5,8,0,2,4,75,,
2015,5,30,0,2,4,80,0,
2015,5,2,0,2,4,70,0,
2015,5,9,0,2,4,64,0,
2015,5,,0,2,4,78,0,
2015,5,18,0,1,4,85,,
2015,5,15,0,1,,82,,
2015,5,10,0,2,4,59,0,
2015,5,25,0,1,4,,,
2015,5,7,0,1,4,85,,
2015,5,5,0,1,4,68,,
2015,5,18,0,1,4,70,,
2015,6,8,0,1,4,85,,
2015,6,8,0,,4,95,,
2015,6,18,0,1,4,110,,
2015,7,22,3,2,1,,,
2015,7,8,0,1,4,76,,
2015,7,28,0,2,,78,0,
2015,7,20,0,2,,78,0,
2015,9,15,0,2,2,120,0,
2015,9,22,,2,2,137,,
2015,9,11,4,1,2,140,,
2015,9,11,0,1,2,84,,
2015,9,3,0,1,2,94,,
2015,10,8,1,1,,90,,
2015,10,7,6,2,,110,,
2015,10,11,15,1,1,,,
2015,10,13,16,2,1,,1,
2015,10,13,4,1,1,,,
2015,10,10,1,2,1,,0,0
2015,5,8,0,,4,,,
2015,5,8,0,2,4,,0,
2015,5,8,0,,4,,,
2015,5,8,0,1,4,,,
2015,9,,0,1,4,,,
2016,4,20,10,2,1,120,1,1
2016,4,28,0,1,1,70,,
2016,4,20,30,1,1,120,,
2016,4,20,1,1,1,70,,
2016,4,26,0,1,1,97,,
2016,4,30,0,1,1,70,,
2016,4,30,8,2,1,,1,1
2016,4,30,7,2,1,138,1,1
2016,4,16,1,2,1,80,0,0
2016,4,22,1,1,1,110,,
2016,4,16,3,1,1,105,,
2016,4,23,18,2,1,105,1,1
2016,4,22,9,1,1,122,,
2016,4,30,2,2,1,,0,
2016,4,30,17,1,1,,,
2016,4,23,7,2,1,,0,0
2016,5,3,20,1,1,135,,
2016,5,7,19,1,1,130,,
2016,5,9,2,1,1,115,,
2016,5,1,11,2,1,,0,0
