"year","month","date","sex","age","body_length","spring"
2019,10,"2019-10-10","f",NA,134,FALSE
2021,10,"2021-10-19","f",7,134,FALSE
2021,10,"2021-10-19","f",NA,31,FALSE
2021,10,"2021-10-19","f",14,142,FALSE
2021,10,"2021-10-13","m",NA,130,FALSE
2021,10,"2021-10-13","m",9,134,FALSE
2021,10,"2021-10-13","f",8,130,FALSE
2021,10,"2021-10-13","f",0,95,FALSE
2021,9,"2021-09-05","f",9,130,FALSE
2021,5,"2021-05-10","f",4,122,TRUE
2021,5,"2021-05-16","f",15,136,TRUE
2021,5,"2021-05-16","f",NA,121,TRUE
2021,5,"2021-05-16","f",7,119,TRUE
2021,5,"2021-05-16","f",11,124,TRUE
2021,5,"2021-05-10","f",0,100,TRUE
2021,5,"2021-05-16","f",2,114,TRUE
2021,5,"2021-05-16","f",NA,122,TRUE
2021,10,"2021-10-19","m",NA,31,FALSE
2021,9,"2021-09-05","m",15,128,FALSE
2021,5,"2021-05-16","f",6,133,TRUE
2021,5,"2021-05-16","f",2,108,TRUE
2021,5,"2021-05-16","f",0,104,TRUE
2021,5,"2021-05-16","f",9,129,TRUE
2019,5,"2019-05-17","f",4,125,TRUE
2019,5,"2019-05-17","f",9,135,TRUE
2019,5,"2019-05-23","m",0,125,TRUE
2019,5,"2019-05-23","f",2,120,TRUE
2019,5,"2019-05-26","m",NA,110,TRUE
2019,5,"2019-05-16","f",1,125,TRUE
2020,5,"2020-05-07","f",1,103,TRUE
2020,5,"2020-05-01","f",0,100,TRUE
2020,5,"2020-05-01","f",0,110,TRUE
2020,5,"2020-05-09","f",0,100,TRUE
2020,5,"2020-05-08","f",31,125,TRUE
2020,5,"2020-05-08","f",0,103,TRUE
2022,5,"2022-05-29","f",2,101,TRUE
2020,5,"2020-05-08","m",5,125,TRUE
2022,5,"2022-05-29","f",6,134,TRUE
2021,5,"2021-05-14","f",3,119,TRUE
2019,5,"2019-05-15","m",18,135,TRUE
2019,5,"2019-05-17","m",0,105,TRUE
2019,5,"2019-05-15","f",6,135,TRUE
2019,5,"2019-05-18","m",0,106,TRUE
2019,5,"2019-05-05","f",NA,127,TRUE
2022,6,"2022-06-13","f",NA,154,TRUE
2022,6,"2022-06-13","f",NA,110,TRUE
2022,5,"2022-05-04","f",NA,123,TRUE
2022,5,"2022-05-30","f",NA,135,TRUE
2022,5,"2022-05-04","f",NA,130,TRUE
2022,5,"2022-05-04","f",NA,138,TRUE
2022,5,"2022-05-04","f",NA,130,TRUE
2022,5,"2022-05-01","f",NA,135,TRUE
2022,5,"2022-05-26","f",NA,NA,TRUE
2022,5,"2022-05-01","f",14,133,TRUE
2022,5,"2022-05-01","f",NA,101,TRUE
2022,5,"2022-05-01","f",NA,103,TRUE
2022,5,"2022-05-01","f",NA,122,TRUE
2022,5,"2022-05-01","f",NA,140,TRUE
2022,5,"2022-05-01","f",NA,113,TRUE
2022,5,"2022-05-01","f",NA,109,TRUE
2022,9,"2022-09-04","f",0,90,FALSE
2022,9,"2022-09-01","m",0,85,FALSE
2022,9,"2022-09-01","m",0,90,FALSE
2022,9,"2022-09-04","f",0,95,FALSE
2004,6,"2004-06-16","m",5,112,TRUE
2007,11,"2007-11-01","f",2,117,FALSE
2007,11,"2007-11-01","f",0,94.5,FALSE
2008,5,"2008-05-21","f",12,126.5,TRUE
2008,6,"2008-06-05","f",1,101.5,TRUE
2008,5,"2005-05-20","f",4,124,TRUE
2008,5,"2008-05-30","f",4,114,TRUE
2008,11,"2008-11-12","f",0,120,FALSE
2008,5,"2008-05-30","m",1,111.5,TRUE
2008,6,"2008-06-03","f",3,111,TRUE
2008,10,"2008-10-29","m",5,125,FALSE
2008,6,"2008-06-16","f",0,94.5,TRUE
2008,5,"2008-05-30","m",1,105.5,TRUE
2008,10,"2008-10-01","m",7,109,FALSE
2009,NA,NA,"m",7,136.5,NA
2009,NA,NA,"m",4,125,NA
2009,10,"2009-10-01","f",2,117.5,FALSE
2009,10,"2009-10-01","m",25,124.5,FALSE
