accnr,year,month,date,source,sex,age,body_length,gravid,CA,placental_scar
A2018/05676,2018,5,2018-05-23,hunted,NA,1,100,NA,NA,NA
A2018/05677,2018,5,2018-05-19,hunted,m,5,136,NA,NA,NA
A2018/05679,2018,5,2018-05-19,hunted,m,20,127,NA,NA,NA
A2018/05681,2018,5,2018-05-23,hunted,f,2,100,NA,FALSE,FALSE
A2018/05682,2018,5,2018-05-23,hunted,f,1,101,NA,FALSE,FALSE
A2018/05683,2018,5,2018-05-19,hunted,NA,11,120,NA,NA,NA
A2018/05685,2018,NA,NA,hunted,f,3,115,NA,NA,NA
A2018/05686,2018,5,2018-05-18,hunted,f,7,140,NA,NA,NA
A2018/05687,2018,NA,NA,hunted,f,8,114,NA,TRUE,NA
A2018/05690,2017,5,2017-05-03,hunted,NA,17,135,NA,NA,NA
A2018/05691,2017,5,2017-05-03,hunted,m,13,150,NA,NA,NA
A2018/05692,2017,5,2017-05-03,hunted,m,10,145,NA,NA,NA
A2018/05693,2017,5,2017-05-03,hunted,f,10,130,NA,NA,NA
A2018/05694,2018,10,2018-10-18,hunted,m,22,144,NA,NA,NA
A2019/05385,2019,6,2019-06-06,hunted,m,22,143.5,NA,NA,NA
A2019/05387,2019,6,2019-06-06,hunted,f,9,130,NA,FALSE,FALSE
A2019/05388,2019,6,2019-06-05,hunted,f,2,111,FALSE,FALSE,FALSE
A2019/05389,2019,6,NA,hunted,f,3,109.5,FALSE,FALSE,FALSE
A2019/05391,2019,6,NA,hunted,f,8,122,NA,TRUE,TRUE
A2011/05466,2011,10,2011-10-05,stranded,m,0,100,NA,NA,NA
A2019/05649,2018,10,2018-10-20,hunted,m,15,151,NA,NA,NA
A2019/05650,2018,10,2018-10-20,hunted,f,10,134,TRUE,NA,NA
A2019/05651,2018,10,2018-10-20,hunted,m,14,138.5,NA,NA,NA
A2019/05653,2018,10,2018-10-20,hunted,m,7,139.5,NA,NA,NA
A2019/05654,2018,10,2018-10-20,hunted,f,7,142,TRUE,TRUE,NA
A2019/05656,2018,11,2018-11-14,hunted,m,17,150,NA,NA,NA
A2019/05657,2018,10,2018-10-04,hunted,f,5,123,TRUE,TRUE,NA
A2019/05658,2018,10,2018-10-04,hunted,m,9,133,NA,NA,NA
A2020/05042,2018,10,2018-10-04,hunted,f,7,135.5,TRUE,FALSE,NA
A2020/05119,2019,9,2019-09-08,hunted,f,9,134.5,FALSE,TRUE,NA
A2020/05389,2019,9,2019-09-09,hunted,m,12,118,NA,NA,NA
A2020/05390,2018,11,2018-11-04,hunted,m,13,132.5,NA,NA,NA
A2020/05393,2019,9,2019-09-07,hunted,m,13,130,NA,NA,NA
A2020/05437,2018,11,2018-11-03,hunted,f,5,115,TRUE,FALSE,NA
A2020/05458,2018,10,2018-10-24,hunted,m,5,124,NA,NA,NA
A2020/05459,2018,10,2018-10-09,hunted,f,4,114,TRUE,FALSE,FALSE
A2020/05461,2019,8,2019-08-26,hunted,m,7,129.5,NA,NA,NA
A2020/05462,2018,10,2018-10-09,hunted,m,5,112.5,NA,NA,NA
A2020/05505,2019,6,2019-06-12,hunted,f,7,130,NA,FALSE,FALSE
A2020/05507,2019,6,2019-06-02,hunted,f,12,130,NA,TRUE,FALSE
A2020/05508,2019,6,2019-06-12,hunted,m,16,135,NA,NA,NA
A2020/05509,2019,6,2019-06-12,hunted,f,2,100,NA,FALSE,FALSE
A2020/05510,2019,6,2019-06-02,hunted,f,8,120,NA,NA,FALSE
A2020/05511,2019,6,2019-06-12,hunted,f,14,140,NA,TRUE,TRUE
A2020/05512,2019,6,2019-05-26,hunted,m,9,125,NA,NA,NA
A2020/05832,2018,11,2018-11-14,hunted,f,7,122,FALSE,FALSE,TRUE
A2020/05840,2018,11,2018-11-14,hunted,m,2,128,NA,NA,NA
A2021/05025,2019,6,2019-06-02,hunted,m,2,130,NA,NA,NA
A2021/05217,2020,10,2020-10-12,hunted,m,9,134,NA,NA,NA
A2021/05218,2020,9,2020-09-01,hunted,f,23,123,FALSE,TRUE,FALSE
A2021/05220,2020,9,2020-09-01,hunted,f,10,140,TRUE,FALSE,FALSE
A2021/05221,2020,9,2020-09-01,hunted,f,17,132,TRUE,FALSE,FALSE
A2021/05222,2020,9,2020-09-01,hunted,m,17,153,NA,NA,NA
A2021/05223,2020,9,2020-09-01,hunted,f,15,136,TRUE,TRUE,FALSE
A2021/05224,2020,10,2020-10-02,hunted,m,17,146,NA,NA,NA
A2021/05225,2020,10,2020-10-16,hunted,m,7,143,NA,NA,NA
A2021/05228,2020,10,2020-10-02,hunted,m,18,138,NA,NA,NA
A2021/05229,2020,10,2020-10-16,hunted,m,8,145,NA,NA,NA
A2021/05230,2020,9,2020-09-07,hunted,f,13,139,TRUE,TRUE,FALSE
A2021/05231,2020,9,2020-09-15,hunted,m,18,153,NA,NA,NA
A2021/05236,2020,10,2020-10-12,hunted,m,6,132,NA,NA,NA
A2021/05237,2020,10,2020-10-16,hunted,f,9,149,TRUE,FALSE,FALSE
A2021/05238,2020,10,2020-10-16,hunted,m,14,148,NA,NA,NA
A2021/05240,2020,10,2020-10-01,hunted,m,11,140,NA,NA,NA
A2021/05241,2020,9,2020-09-15,hunted,f,10,151,TRUE,TRUE,FALSE
A2021/05242,2020,9,2020-09-24,hunted,f,3,116,NA,FALSE,FALSE
A2021/05243,2020,9,2020-09-01,hunted,f,8,126,TRUE,FALSE,FALSE
A2021/05244,2020,9,2020-09-14,hunted,f,13,133,TRUE,FALSE,FALSE
A2021/05245,2020,10,2020-10-14,hunted,f,14,112,FALSE,FALSE,FALSE
A2021/05248,2020,10,2020-10-16,hunted,m,13,151,NA,NA,NA
A2021/05250,2020,10,2020-10-03,hunted,f,10,127,TRUE,FALSE,FALSE
A2021/05251,2020,10,2020-10-16,hunted,f,7,130,TRUE,FALSE,FALSE
A2021/05253,2020,9,2020-09-01,hunted,m,10,135,NA,NA,NA
A2021/05254,2020,10,2020-10-16,hunted,m,1,117,NA,NA,NA
A2021/05255,2020,9,2020-09-14,hunted,f,21,130,FALSE,FALSE,FALSE
A2021/05257,2020,9,2020-09-30,hunted,f,13,130,FALSE,FALSE,FALSE
A2021/05258,2020,5,2020-05-15,hunted,f,11,115,NA,TRUE,NA
A2021/05259,2020,5,2020-05-15,hunted,f,5,110,NA,FALSE,FALSE
A2021/05260,2020,5,2020-05-15,hunted,f,9,110,NA,FALSE,TRUE
A2021/05270,2020,10,2020-10-16,hunted,m,14,145,NA,NA,NA
A2021/05271,2020,9,2020-09-07,hunted,f,10,129,TRUE,FALSE,FALSE
A2021/05272,2020,10,2020-10-12,hunted,m,9,125,NA,NA,NA
A2021/05273,2020,9,2020-09-01,hunted,f,8,133,TRUE,TRUE,FALSE
A2021/05275,2020,9,2020-09-24,hunted,m,11,138,NA,NA,NA
A2021/05277,2019,9,2019-09-14,hunted,m,16,133.5,NA,NA,NA
A2021/05278,2019,10,2019-10-04,hunted,f,6,134.5,TRUE,TRUE,FALSE
A2021/05282,2020,5,2020-05-14,hunted,f,1,105,NA,FALSE,FALSE
A2021/05283,2020,5,2020-05-14,hunted,f,7,110,NA,TRUE,FALSE
A2021/05284,2020,5,2020-05-12,hunted,f,1,104,NA,FALSE,FALSE
A2021/05285,2020,5,2020-05-25,hunted,f,7,125,NA,TRUE,FALSE
A2021/05286,2020,5,2020-05-12,hunted,f,3,115,NA,FALSE,FALSE
A2021/05288,2020,5,2020-05-26,hunted,f,10,125,NA,FALSE,FALSE
A2021/05289,2020,5,2020-05-17,hunted,f,15,140,NA,FALSE,FALSE
A2021/05292,2020,5,2020-05-18,hunted,f,4,120,NA,TRUE,FALSE
A2021/05293,2020,5,2020-05-18,hunted,f,17,140,NA,FALSE,FALSE
A2021/05294,2020,5,2020-05-17,hunted,f,6,122,NA,TRUE,FALSE
A2021/05296,2020,5,2020-05-20,hunted,f,10,135,NA,FALSE,FALSE
A2021/05297,2020,5,2020-05-17,hunted,f,1,107,NA,FALSE,FALSE
A2021/05298,2019,9,2019-09-14,hunted,f,5,112,TRUE,TRUE,TRUE
A2021/05301,2019,9,2019-09-27,hunted,m,10,138,NA,NA,NA
A2021/05476,2019,9,2019-09-27,hunted,m,11,122.5,NA,NA,NA
A2021/05479,2019,9,2019-09-04,hunted,m,12,134,NA,NA,NA
A2021/05525,2019,10,2019-10-08,hunted,f,10,123,TRUE,TRUE,FALSE
A2021/05527,2019,10,2019-10-10,hunted,m,2,113,NA,NA,NA
A2021/05528,2019,9,2019-09-27,hunted,m,5,122,NA,NA,NA
A2021/05945,2019,8,2019-08-30,hunted,f,5,123,TRUE,FALSE,FALSE
A2012/05555,2012,6,2012-06-03,bycaught,m,0,85.5,NA,NA,NA
A2012/05635,2012,8,2012-08-20,stranded,f,0,92,FALSE,FALSE,FALSE
A2012/05641,2012,8,2012-08-22,bycaught,f,0,96,FALSE,FALSE,FALSE
A2012/05700,2012,9,2012-09-05,bycaught,f,0,107.5,NA,FALSE,FALSE
A2012/05718,2012,9,2012-09-10,bycaught,m,0,101.5,NA,NA,NA
A2012/05761,2012,8,2012-08-10,bycaught,m,0,89,NA,NA,NA
A2012/05828,2012,6,2012-06-05,bycaught,m,0,84.5,NA,NA,NA
A2012/05911,2012,9,2012-09-03,bycaught,m,0,91.5,NA,NA,NA
A2012/05913,2012,8,2012-08-19,bycaught,f,0,87.5,FALSE,FALSE,FALSE
A2013/05007,2012,5,2012-05-22,bycaught,m,0,92,NA,NA,NA
A2013/05008,2012,8,2012-08-04,bycaught,f,0,91,NA,FALSE,FALSE
A2013/05084,2012,8,2012-08-22,bycaught,m,0,92,NA,NA,NA
A2013/05157,2012,5,2012-05-25,bycaught,f,0,96,NA,NA,NA
A2013/05158,2012,5,2012-05-25,bycaught,m,0,94,NA,NA,NA
A2013/05443,2012,10,2012-10-10,bycaught,m,0,105,NA,NA,NA
A2013/05446,2012,7,2012-07-15,bycaught,f,0,80.5,NA,FALSE,FALSE
A2013/05447,2013,8,2013-08-27,bycaught,f,0,101.5,NA,FALSE,FALSE
C2007/08042,2007,11,2007-11-01,hunted,f,2,117,FALSE,FALSE,FALSE
C2008/03749,2008,5,2008-05-21,hunted,f,12,126.5,FALSE,TRUE,TRUE
C2008/05469,2008,6,2008-06-05,hunted,f,1,101.5,FALSE,FALSE,FALSE
C2008/07795,2008,5,2005-05-20,hunted,f,4,124,FALSE,TRUE,TRUE
C2008/07994,2008,5,2008-05-30,hunted,f,4,114,FALSE,FALSE,FALSE
C2008/08633,2008,5,2008-05-30,hunted,m,1,111.5,NA,NA,NA
C2008/08853,2008,6,2008-06-03,hunted,f,3,111,FALSE,FALSE,FALSE
C2008/08858,2008,10,2008-10-29,hunted,m,5,125,NA,NA,NA
A2013/05512,2013,10,2013-10-12,bycaught,f,0,102.5,NA,FALSE,FALSE
C2008/08911,2008,5,2008-05-30,hunted,m,1,105.5,NA,NA,NA
C2008/09025,2008,10,2008-10-01,hunted,m,7,109,NA,NA,NA
C2009/00044,2009,NA,NA,hunted,m,7,136.5,NA,NA,NA
C2009/00045,2009,NA,NA,hunted,m,4,125,NA,NA,NA
C2009/08590,2009,10,2009-10-01,hunted,f,2,117.5,FALSE,FALSE,FALSE
C2009/08591,2009,10,2009-10-30,bycaught,f,10,144,TRUE,TRUE,NA
C2009/08995,2009,10,2009-10-01,hunted,m,25,124.5,NA,NA,NA
A2017/05788,2016,5,2016-05-07,hunted,m,3,110,NA,NA,NA
A2017/05789,2016,5,2016-05-14,hunted,f,10,150,NA,NA,NA
A2002/05049,2002,4,2002-04-29,bycaught,f,2,116,NA,NA,NA
A2014/05090,2012,9,2012-09-13,bycaught,f,0,91.5,FALSE,FALSE,FALSE
A2017/05443,2016,7,NA,bycaught,m,1,109,NA,NA,NA
A2014/05215,2012,7,2012-07-09,bycaught,f,0,99,FALSE,FALSE,FALSE
A2014/05216,2012,9,2012-09-07,bycaught,m,0,93.5,NA,NA,NA
A2014/05348,2012,5,NA,stranded,f,0,73.5,FALSE,FALSE,FALSE
A2014/05481,2012,9,2012-09-02,bycaught,m,0,102,NA,NA,NA
A2014/05483,2014,6,2014-06-09,stranded,m,0,87,NA,NA,NA
A2014/05505,2014,9,2014-09-05,bycaught,m,0,98,NA,NA,NA
A2014/05720,2013,11,2013-11-02,hunted,f,0,104,NA,FALSE,FALSE
A2015/05055,2014,8,2014-08-20,bycaught,f,0,98,FALSE,FALSE,FALSE
A2015/05079,2014,4,2014-04-02,stranded,m,0,103,NA,NA,NA
A2015/05209,2012,9,2012-09-12,bycaught,f,0,100,FALSE,FALSE,FALSE
A2015/05224,2014,6,2014-06-28,bycaught,f,0,91.5,FALSE,FALSE,FALSE
A2015/05225,2014,7,2014-07-09,bycaught,m,0,94.5,NA,NA,NA
A2015/05226,2014,8,2014-08-16,bycaught,f,0,93.5,FALSE,NA,FALSE
A2015/05284,2014,7,2014-07-04,bycaught,m,0,81.5,NA,NA,NA
A2015/05285,2014,5,2014-05-23,bycaught,m,0,73,NA,NA,NA
A2015/05286,2014,6,2014-06-27,bycaught,m,0,84,NA,NA,NA
A2015/05287,2014,6,2014-06-20,bycaught,f,0,83,FALSE,FALSE,FALSE
A2015/05288,2014,6,2014-06-26,bycaught,m,0,83,NA,NA,NA
