date,year,sampled,sex,body_length
5/25/21,2021,0,f,125
5/25/21,2021,0,f,136
5/25/21,2021,0,f,120
5/24/21,2021,0,f,120
5/24/21,2021,0,m,140
5/24/21,2021,0,m,127
5/24/21,2021,0,f,132
5/24/21,2021,0,f,129
5/25/21,2021,0,f,113
5/25/21,2021,0,m,124
5/25/21,2021,0,f,104
5/25/21,2021,0,m,123
5/25/21,2021,0,f,121
5/25/21,2021,0,m,130
5/25/21,2021,0,f,116
5/25/21,2021,0,m,147
5/25/21,2021,0,f,120
5/25/21,2021,0,f,100
5/25/21,2021,0,m,130
5/26/21,2021,0,,
5/26/21,2021,0,m,134
5/26/21,2021,0,f,127
5/26/21,2021,0,m,125
5/26/21,2021,0,m,152
5/26/21,2021,0,f,129
5/31/21,2021,0,f,128
5/31/21,2021,0,m,127
5/31/21,2021,0,f,130
5/31/21,2021,0,f,133
5/31/21,2021,0,f,115
6/1/21,2021,0,f,125
6/1/21,2021,0,m,117
6/1/21,2021,0,f,96
6/6/21,2021,0,,
6/6/21,2021,0,,
6/5/21,2021,0,m,98
6/16/21,2021,0,,
6/16/21,2021,0,,
6/16/21,2021,0,,
6/20/21,2021,0,m,78
6/20/21,2021,0,m,93
6/20/21,2021,0,f,115
7/5/21,2021,1,f,87
7/5/21,2021,1,f,84
7/5/21,2021,1,f,93
7/5/21,2021,1,f,91
7/5/21,2021,1,m,108
7/12/21,2021,1,f,83
7/12/21,2021,1,f,100
7/12/21,2021,1,m,115
7/12/21,2021,1,f,95
7/13/21,2021,1,f,110
7/13/21,2021,1,f,110
7/15/21,2021,0,f,127
7/15/21,2021,0,m,132
7/15/21,2021,0,f,129
7/18/21,2021,0,f,125
7/18/21,2021,0,m,136
7/18/21,2021,0,f,127
8/5/21,2021,1,m,130
9/1/21,2021,1,m,152
9/1/21,2021,1,f,145
9/1/21,2021,1,m,145
9/1/21,2021,1,m,145
9/1/21,2021,1,f,140
9/1/21,2021,1,f,135
9/1/21,2021,1,f,140
9/4/21,2021,1,m,107
9/4/21,2021,1,f,115
9/4/21,2021,1,f,125
9/5/21,2021,1,f,130
9/5/21,2021,1,f,133
9/5/21,2021,1,m,128
9/5/21,2021,1,f,137
9/9/21,2021,1,f,147
9/11/21,2021,1,f,140
9/16/21,2021,1,m,131
9/16/21,2021,1,m,139
9/16/21,2021,1,m,143
9/18/21,2021,1,f,127
9/18/21,2021,1,m,157
9/18/21,2021,1,m,139
9/26/21,2021,0,,137
10/9/21,2021,1,f,127
10/9/21,2021,1,m,139
10/10/21,2021,1,f,134
10/10/21,2021,1,m,148
10/13/21,2021,1,m,150
10/13/21,2021,1,f,138
10/13/21,2021,1,m,138
10/13/21,2021,1,m,140
10/13/21,2021,1,f,130
10/13/21,2021,1,m,134
10/13/21,2021,1,m,130
10/13/21,2021,1,f,145
10/13/21,2021,1,f,125
10/13/21,2021,1,m,130
10/13/21,2021,1,f,95
10/19/21,2021,1,f,134
10/19/21,2021,1,f,142
10/19/21,2021,1,f,141
12/4/21,2021,0,,
12/4/21,2021,0,,
12/4/21,2021,0,,
12/4/21,2021,0,,
12/4/21,2021,0,,
12/4/21,2021,0,,
12/4/21,2021,0,,
12/4/21,2021,0,,
12/4/21,2021,0,,
12/4/21,2021,0,,
12/4/21,2021,0,,
12/27/21,2021,0,,
12/27/21,2021,0,,
12/27/21,2021,0,,
12/27/21,2021,0,,
12/27/21,2021,0,,
12/27/21,2021,0,,
12/27/21,2021,0,,
12/27/21,2021,0,,
12/27/21,2021,0,,
5/1/22,2022,0,m,148
5/1/22,2022,0,m,141
5/1/22,2022,1,f,140
5/1/22,2022,0,m,140
5/1/22,2022,1,f,101
5/1/22,2022,1,f,122
5/1/22,2022,1,f,109
5/1/22,2022,0,m,105
5/1/22,2022,1,f,103
5/1/22,2022,1,f,130
5/1/22,2022,1,f,133
5/1/22,2022,1,f,113
5/4/22,2022,1,f,109
5/4/22,2022,0,m,110
5/4/22,2022,0,m,136
5/4/22,2022,1,f,130
5/4/22,2022,0,m,114
5/4/22,2022,0,m,126
5/4/22,2022,0,m,109
5/4/22,2022,0,m,110
5/4/22,2022,0,m,136
5/4/22,2022,0,m,137
5/4/22,2022,1,f,130
5/4/22,2022,1,f,138
5/11/22,2022,1,f,128
5/11/22,2022,1,f,132
5/11/22,2022,1,f,122
5/11/22,2022,1,f,127
5/11/22,2022,1,f,124
5/11/22,2022,1,f,175
5/26/22,2022,1,f,132
5/26/22,2022,0,,
5/29/22,2022,1,f,134
5/29/22,2022,1,f,109
5/30/22,2022,1,f,135
6/13/22,2022,1,f,157
6/13/22,2022,1,f,110
7/3/22,2022,0,m,105
7/3/22,2022,0,f,100
7/3/22,2022,0,f,98
7/3/22,2022,0,m,106
8/8/22,2022,0,f,114
9/1/22,2022,1,m,98
9/1/22,2022,1,f,103
9/2/22,2022,1,m,138
9/2/22,2022,1,f,137
9/2/22,2022,1,f,134
9/3/22,2022,1,m,138
9/4/22,2022,1,f,132
9/10/22,2022,1,m,160
9/10/22,2022,1,f,120
9/10/22,2022,1,f,137
9/11/22,2022,1,f,92
9/4/22,2022,1,f,136
9/27/22,2022,1,m,139
9/25/22,2022,0,,
